Shipment_ID,Region,Transport_Mode,Product_Category,Shipment_Volume_kg,Distance_km,Delivery_Time_Days,Transportation_Cost_INR,Delay_Risk
10001,North,Rail,Food,386.4,221.1,4.18,378.89,0.168
10002,West,Sea,Apparel,686.4,153.2,5.26,456.92,0.372
10003,East,Road,Electronics,526.2,1090.8,4.79,1007.45,0.161
10004,South,Road,Apparel,469.1,530.1,3.46,658.46,0.176
10005,South,Road,Food,500.9,203.4,3.04,495.8,0.151
10006,West,Air,Electronics,560.2,1437.7,5.03,1743.13,0.299
10007,North,Air,Industrial,631.0,813.2,4.36,1200.52,0.106
10008,East,Road,Apparel,340.1,713.4,3.86,900.98,0.083
10009,North,Road,Industrial,332.5,341.3,4.01,563.03,0.015
10010,North,Rail,Food,718.8,218.7,3.44,680.87,0.133
10011,East,Road,Apparel,445.8,653.3,4.77,772.26,0.08
10012,West,Air,Electronics,265.0,578.6,0.87,1072.97,0.117
10013,East,Road,Food,599.9,279.7,4.5,529.67,0.201
10014,West,Road,Apparel,603.4,272.7,5.83,500.8,0.277
10015,East,Sea,Electronics,244.5,262.9,4.91,218.06,0.17
10016,West,Road,Industrial,561.3,256.3,0.5,750.11,0.176
10017,East,Road,Apparel,652.4,389.7,2.83,748.32,0.084
10018,North,Road,Electronics,587.4,713.5,5.62,850.36,0.322
10019,West,Road,Apparel,633.8,784.7,5.01,1063.57,0.263
10020,South,Road,Apparel,267.2,571.3,3.77,705.47,0.193
10021,East,Road,Industrial,579.6,635.5,5.17,997.94,0.325
10022,South,Road,Food,465.5,806.4,4.79,756.85,0.017
10023,North,Road,Electronics,433.1,121.9,4.11,365.78,0.111
10024,West,Rail,Electronics,676.7,665.5,6.33,796.75,0.395
10025,West,Rail,Food,786.3,1195.5,8.36,1088.38,0.367
10026,East,Road,Electronics,843.0,521.6,4.43,945.01,0.231
10027,South,Road,Apparel,756.7,1065.9,6.2,1180.9,0.418
10028,West,Road,Electronics,500.2,527.6,3.26,776.51,0.027
10029,East,Sea,Electronics,583.5,837.5,5.99,1095.48,0.316
10030,South,Sea,Industrial,658.0,705.0,8.55,787.17,0.182
10031,South,Road,Electronics,541.8,259.8,3.34,496.72,0.056
10032,North,Road,Electronics,543.5,305.1,4.15,578.62,0.175
10033,North,Road,Industrial,668.3,1317.5,5.72,1438.09,0.305
10034,East,Road,Electronics,509.3,943.1,3.86,961.95,0.079
10035,West,Rail,Industrial,388.7,549.8,4.67,577.31,0.131
10036,North,Road,Electronics,445.4,505.7,5.24,766.31,0.276
10037,West,Road,Electronics,634.1,342.8,4.03,667.23,0.101
10038,West,Road,Electronics,520.5,740.5,2.07,687.79,0.146
10039,South,Road,Food,581.2,363.0,3.09,515.21,0.049
10040,East,Road,Food,640.6,464.9,5.78,858.91,0.283
10041,North,Air,Apparel,452.5,388.6,1.31,836.05,0.078
10042,West,Road,Electronics,656.1,909.8,2.49,982.02,0.01
10043,East,Sea,Electronics,588.2,535.8,8.32,652.5,0.216
10044,South,Road,Food,297.7,638.4,4.47,705.88,0.21
10045,North,Air,Electronics,779.6,263.6,1.57,913.43,0.227
10046,West,Sea,Food,429.9,386.9,5.09,371.85,0.187
10047,South,Sea,Food,222.1,646.8,7.18,518.31,0.172
10048,West,Air,Industrial,331.9,181.3,0.5,624.47,0.092
10049,East,Air,Apparel,336.2,511.1,3.09,830.25,0.209
10050,West,Rail,Electronics,529.4,582.0,5.53,767.87,0.267
10051,West,Air,Apparel,470.7,240.0,1.55,589.82,0.191
10052,North,Road,Industrial,459.4,1039.3,4.89,1093.38,0.125
10053,South,Road,Food,631.5,719.8,3.99,1001.78,0.133
10054,South,Road,Food,581.2,533.4,4.99,791.95,0.01
10055,South,Sea,Apparel,576.9,368.6,4.62,555.2,0.166
